episode,model,seed,elapsed_seconds,moving_avg_score,model_size,device,score,steps,reward,epsilon,loss
136,q_learning,3,0.0414,1.0,537,cpu,0,27,-9.86,0.50575,0.0
137,q_learning,3,0.0416,0.98,537,cpu,0,9,-9.28,0.50322,0.0
138,q_learning,3,0.0418,0.92,540,cpu,0,12,-9.61,0.50071,0.0
139,q_learning,3,0.0423,0.92,543,cpu,2,34,11.99,0.49821,0.0
140,q_learning,3,0.0426,0.94,549,cpu,2,21,10.22,0.49571,0.0
141,q_learning,3,0.0433,0.92,555,cpu,0,48,-9.97,0.49324,0.0
142,q_learning,3,0.0439,0.96,558,cpu,2,39,10.84,0.49077,0.0
143,q_learning,3,0.0444,1.0,564,cpu,2,29,10.34,0.48832,0.0
144,q_learning,3,0.0446,1.02,564,cpu,1,15,0.37,0.48587,0.0
145,q_learning,3,0.0449,1.06,564,cpu,2,17,10.66,0.48344,0.0
146,q_learning,3,0.0452,1.08,564,cpu,1,15,0.57,0.48103,0.0
147,q_learning,3,0.0453,1.1,564,cpu,1,8,0.14,0.47862,0.0
148,q_learning,3,0.0459,1.12,564,cpu,3,39,22.15,0.47623,0.0
149,q_learning,3,0.0463,1.12,570,cpu,2,23,10.8,0.47385,0.0
150,q_learning,3,0.0467,1.12,573,cpu,1,27,0.65,0.47148,0.0
151,q_learning,3,0.0469,1.1,573,cpu,1,11,0.61,0.46912,0.0
152,q_learning,3,0.0473,1.1,573,cpu,2,24,10.29,0.46678,0.0
153,q_learning,3,0.0476,1.1,573,cpu,1,21,0.31,0.46444,0.0
154,q_learning,3,0.0485,1.12,576,cpu,2,53,10.5,0.46212,0.0
155,q_learning,3,0.0488,1.14,582,cpu,2,18,10.55,0.45981,0.0
156,q_learning,3,0.0494,1.16,585,cpu,2,37,11.86,0.45751,0.0
157,q_learning,3,0.0497,1.18,585,cpu,1,19,0.33,0.45522,0.0
158,q_learning,3,0.05,1.18,585,cpu,1,14,0.48,0.45295,0.0
159,q_learning,3,0.0504,1.2,588,cpu,2,23,11.2,0.45068,0.0
160,q_learning,3,0.0507,1.24,588,cpu,2,23,10.2,0.44843,0.0
161,q_learning,3,0.0512,1.24,588,cpu,2,31,10.52,0.44619,0.0
162,q_learning,3,0.0517,1.24,588,cpu,2,26,11.27,0.44396,0.0
163,q_learning,3,0.0521,1.3,591,cpu,3,22,21.42,0.44174,0.0
164,q_learning,3,0.0523,1.32,591,cpu,3,13,20.61,0.43953,0.0
165,q_learning,3,0.0532,1.36,594,cpu,3,54,21.1,0.43733,0.0
166,q_learning,3,0.0535,1.36,594,cpu,1,18,1.04,0.43514,0.0
167,q_learning,3,0.0537,1.32,594,cpu,0,10,-9.59,0.43297,0.0
